Short Codes ,Utility,MRP Poll Sheet,Con,Lab,LD,Green,SNP,PC,Reform,Other,Single Top Progressive
UKPARL.2025.CTB,1,YOUGOV MRPs (List),22.00%,44.00%,7.00%,11.00%,0.00%,0.00%,16.00%,0.00%,Lab
UKPARL.2025.CTB,2,IPSOS MRP (List),22.00%,56.00%,3.00%,6.00%,NA,NA,11.00%,1.00%,Lab
UKPARL.2025.CTB,3,Survation MRP (List),26.81%,55.66%,5.21%,0.29%,NI,NI,10.66%,1.38%,Lab
UKPARL.2025.CTB,4,FocalData MRP (List),24.96%,50.60%,6.57%,5.03%,,,12.59%,,Lab
UKPARL.2025.CTB,5,AVERAGE,23.94%,51.56%,5.45%,5.58%,0.00%,0.00%,12.56%,0.79%,TRUE
UKPARL.2025.CTM,1,YOUGOV MRPs (List),32.00%,33.00%,5.00%,6.00%,0.00%,0.00%,23.00%,1.00%,Lab
UKPARL.2025.CTM,2,IPSOS MRP (List),38.00%,38.00%,5.00%,4.00%,NA,NA,14.00%,0.00%,Lab
UKPARL.2025.CTM,3,Survation MRP (List),31.05%,31.38%,5.76%,3.23%,NI,NI,26.89%,1.70%,Lab
UKPARL.2025.CTM,4,FocalData MRP (List),33.78%,34.46%,4.72%,5.02%,,,21.81%,,Lab
UKPARL.2025.CTM,5,AVERAGE,33.71%,34.21%,5.12%,4.56%,0.00%,0.00%,21.43%,0.90%,TRUE
UKPARL.2025.CWG,1,YOUGOV MRPs (List),27.00%,35.00%,5.00%,5.00%,0.00%,0.00%,8.00%,19.00%,Lab
UKPARL.2025.CWG,2,IPSOS MRP (List),36.00%,39.00%,2.00%,5.00%,NA,NA,9.00%,6.00%,Lab
UKPARL.2025.CWG,3,Survation MRP (List),31.85%,51.11%,5.43%,0.53%,NI,NI,8.37%,2.71%,Lab
UKPARL.2025.CWG,4,FocalData MRP (List),27.44%,46.94%,6.11%,4.65%,,,13.97%,,Lab
UKPARL.2025.CWG,5,AVERAGE,30.57%,43.01%,4.64%,3.80%,0.00%,0.00%,9.83%,9.24%,TRUE
UKPARL.2025.CWN,1,YOUGOV MRPs (List),24.00%,47.00%,4.00%,6.00%,0.00%,0.00%,18.00%,0.00%,Lab
UKPARL.2025.CWN,2,IPSOS MRP (List),23.00%,51.00%,3.00%,4.00%,NA,NA,17.00%,0.00%,Lab
UKPARL.2025.CWN,3,Survation MRP (List),29.99%,51.42%,2.84%,4.03%,NI,NI,9.87%,1.86%,Lab
UKPARL.2025.CWN,4,FocalData MRP (List),24.97%,47.95%,4.57%,4.50%,,,17.79%,,Lab
UKPARL.2025.CWN,5,AVERAGE,25.49%,49.34%,3.60%,4.63%,0.00%,0.00%,15.66%,0.62%,TRUE
UKPARL.2025.DAB,1,YOUGOV MRPs (List),9.00%,36.00%,8.00%,11.00%,0.00%,0.00%,21.00%,15.00%,Lab
UKPARL.2025.DAB,2,IPSOS MRP (List),18.00%,55.00%,3.00%,11.00%,NA,NA,9.00%,2.00%,Lab
UKPARL.2025.DAB,3,Survation MRP (List),22.90%,43.61%,2.45%,14.24%,NI,NI,11.18%,5.62%,Lab
UKPARL.2025.DAB,4,FocalData MRP (List),13.84%,60.75%,4.26%,4.91%,,,13.75%,,Lab
UKPARL.2025.DAB,5,AVERAGE,15.94%,48.84%,4.43%,10.29%,0.00%,0.00%,13.73%,7.54%,TRUE
UKPARL.2025.DAD,1,YOUGOV MRPs (List),24.00%,43.00%,5.00%,5.00%,0.00%,0.00%,22.00%,0.00%,Lab
UKPARL.2025.DAD,2,IPSOS MRP (List),27.00%,46.00%,5.00%,4.00%,NA,NA,16.00%,0.00%,Lab
UKPARL.2025.DAD,3,Survation MRP (List),28.11%,42.28%,3.60%,11.66%,NI,NI,13.22%,1.12%,Lab
UKPARL.2025.DAD,4,FocalData MRP (List),29.49%,41.17%,5.09%,4.83%,,,19.10%,,Lab
UKPARL.2025.DAD,5,AVERAGE,27.15%,43.11%,4.67%,6.37%,0.00%,0.00%,17.58%,0.37%,TRUE
UKPARL.2025.DAE,1,YOUGOV MRPs (List),37.00%,30.00%,7.00%,5.00%,0.00%,0.00%,21.00%,0.00%,Lab
UKPARL.2025.DAE,2,IPSOS MRP (List),35.00%,28.00%,13.00%,4.00%,NA,NA,19.00%,0.00%,Lab
UKPARL.2025.DAE,3,Survation MRP (List),38.64%,26.49%,8.14%,8.59%,NI,NI,16.87%,1.27%,Lab
UKPARL.2025.DAE,4,FocalData MRP (List),36.74%,27.48%,11.99%,4.43%,,,19.17%,,Lab
UKPARL.2025.DAE,5,AVERAGE,36.84%,27.99%,10.03%,5.50%,0.00%,0.00%,19.01%,0.42%,TRUE
UKPARL.2025.DAG,1,YOUGOV MRPs (List),32.00%,16.00%,4.00%,3.00%,32.00%,0.00%,12.00%,1.00%,SNP
UKPARL.2025.DAG,2,IPSOS MRP (List),27.00%,24.00%,6.00%,4.00%,32.00%,NA,5.00%,1.00%,SNP
UKPARL.2025.DAG,3,Survation MRP (List),28.94%,21.88%,3.59%,0.60%,37.05%,NI,7.20%,0.74%,SNP
UKPARL.2025.DAG,4,FocalData MRP (List),24.76%,23.44%,6.25%,3.13%,29.20%,,12.89%,,SNP
UKPARL.2025.DAG,5,AVERAGE,28.17%,21.33%,4.96%,2.68%,32.56%,0.00%,9.27%,0.91%,TRUE
UKPARL.2025.DAH,1,YOUGOV MRPs (List),25.00%,10.00%,46.00%,6.00%,0.00%,0.00%,13.00%,0.00%,LD
UKPARL.2025.DAH,2,IPSOS MRP (List),29.00%,17.00%,41.00%,4.00%,NA,NA,8.00%,NA,LD
UKPARL.2025.DAH,3,Survation MRP (List),29.18%,15.96%,33.05%,11.16%,NI,NI,10.66%,NI,LD
UKPARL.2025.DAH,4,FocalData MRP (List),29.75%,9.33%,40.84%,5.67%,,,14.41%,,LD
UKPARL.2025.DAH,5,AVERAGE,28.23%,13.07%,40.22%,6.71%,0.00%,0.00%,11.52%,0.00%,TRUE
UKPARL.2025.DAR,1,YOUGOV MRPs (List),14.00%,44.00%,6.00%,6.00%,0.00%,0.00%,27.00%,3.00%,Lab
UKPARL.2025.DAR,2,IPSOS MRP (List),25.00%,49.00%,3.00%,5.00%,NA,NA,15.00%,2.00%,Lab
UKPARL.2025.DAR,3,Survation MRP (List),23.74%,51.73%,3.23%,2.10%,NI,NI,12.89%,6.32%,Lab
UKPARL.2025.DAR,4,FocalData MRP (List),20.61%,50.43%,6.66%,3.51%,,,18.43%,,Lab
UKPARL.2025.DAR,5,AVERAGE,20.84%,48.79%,4.72%,4.15%,0.00%,0.00%,18.33%,3.77%,TRUE
UKPARL.2025.DAV,1,YOUGOV MRPs (List),35.00%,29.00%,7.00%,5.00%,0.00%,0.00%,23.00%,0.00%,Lab
UKPARL.2025.DAV,2,IPSOS MRP (List),35.00%,27.00%,14.00%,6.00%,NA,NA,17.00%,NA,Lab
UKPARL.2025.DAV,3,Survation MRP (List),33.79%,29.92%,10.07%,5.97%,NI,NI,20.24%,NI,Lab
UKPARL.2025.DAV,4,FocalData MRP (List),37.14%,28.79%,9.20%,5.03%,,,19.84%,,Lab
UKPARL.2025.DAV,5,AVERAGE,35.23%,28.68%,10.07%,5.50%,0.00%,0.00%,20.02%,0.00%,TRUE
UKPARL.2025.DAW,1,YOUGOV MRPs (List),23.00%,16.00%,43.00%,4.00%,0.00%,0.00%,15.00%,0.00%,LD
UKPARL.2025.DAW,2,IPSOS MRP (List),29.00%,29.00%,27.00%,4.00%,NA,NA,10.00%,0.00%,Lab
UKPARL.2025.DAW,3,Survation MRP (List),27.80%,29.53%,28.37%,2.03%,NI,NI,10.47%,1.80%,Lab
UKPARL.2025.DAW,4,FocalData MRP (List),27.70%,17.62%,35.28%,4.43%,,,14.55%,,LD
UKPARL.2025.DAW,5,AVERAGE,26.87%,23.04%,33.41%,3.62%,0.00%,0.00%,12.51%,0.60%,FALSE
UKPARL.2025.DCT,1,YOUGOV MRPs (List),37.00%,14.00%,4.00%,4.00%,30.00%,0.00%,10.00%,1.00%,SNP
UKPARL.2025.DCT,2,IPSOS MRP (List),32.00%,20.00%,9.00%,3.00%,31.00%,NA,3.00%,1.00%,SNP
UKPARL.2025.DCT,3,Survation MRP (List),32.29%,26.79%,2.50%,1.86%,29.25%,NI,6.34%,0.98%,SNP
UKPARL.2025.DCT,4,FocalData MRP (List),26.89%,26.32%,6.58%,2.95%,23.14%,,13.80%,,Lab
UKPARL.2025.DCT,5,AVERAGE,32.05%,21.78%,5.52%,2.95%,28.35%,0.00%,8.29%,0.99%,FALSE
UKPARL.2025.DED,1,YOUGOV MRPs (List),35.00%,36.00%,7.00%,6.00%,0.00%,0.00%,15.00%,0.00%,Lab
UKPARL.2025.DED,2,IPSOS MRP (List),33.00%,38.00%,8.00%,5.00%,NA,NA,14.00%,0.00%,Lab
UKPARL.2025.DED,3,Survation MRP (List),28.00%,33.42%,8.13%,15.82%,NI,NI,12.95%,1.68%,Lab
UKPARL.2025.DED,4,FocalData MRP (List),30.99%,37.21%,8.22%,5.75%,,,17.56%,,Lab
UKPARL.2025.DED,5,AVERAGE,31.75%,36.16%,7.84%,8.14%,0.00%,0.00%,14.88%,0.56%,TRUE
UKPARL.2025.DEN,1,YOUGOV MRPs (List),24.00%,47.00%,4.00%,8.00%,0.00%,0.00%,17.00%,0.00%,Lab
UKPARL.2025.DEN,2,IPSOS MRP (List),27.00%,50.00%,3.00%,7.00%,NA,NA,11.00%,NA,Lab
UKPARL.2025.DEN,3,Survation MRP (List),26.16%,40.84%,6.21%,5.68%,NI,NI,21.11%,NI,Lab
UKPARL.2025.DEN,4,FocalData MRP (List),24.81%,43.33%,8.42%,4.84%,,,18.59%,,Lab
UKPARL.2025.DEN,5,AVERAGE,25.49%,45.29%,5.41%,6.38%,0.00%,0.00%,16.93%,0.00%,TRUE
UKPARL.2025.DES,1,YOUGOV MRPs (List),13.00%,46.00%,6.00%,8.00%,0.00%,0.00%,24.00%,3.00%,Lab
UKPARL.2025.DES,2,IPSOS MRP (List),19.00%,52.00%,4.00%,6.00%,NA,NA,17.00%,2.00%,Lab
UKPARL.2025.DES,3,Survation MRP (List),18.54%,48.14%,5.08%,0.48%,NI,NI,22.27%,5.50%,Lab
UKPARL.2025.DES,4,FocalData MRP (List),18.20%,57.29%,5.88%,3.91%,,,14.22%,,Lab
UKPARL.2025.DES,5,AVERAGE,17.19%,50.86%,5.24%,4.60%,0.00%,0.00%,19.37%,3.50%,TRUE
UKPARL.2025.DFD,1,YOUGOV MRPs (List),28.00%,35.00%,6.00%,7.00%,0.00%,0.00%,24.00%,0.00%,Lab
UKPARL.2025.DFD,2,IPSOS MRP (List),32.00%,45.00%,5.00%,4.00%,NA,NA,13.00%,NA,Lab
UKPARL.2025.DFD,3,Survation MRP (List),36.35%,33.17%,12.13%,6.08%,NI,NI,12.27%,NI,Lab
UKPARL.2025.DFD,4,FocalData MRP (List),30.61%,40.56%,8.22%,4.30%,,,16.31%,,Lab
UKPARL.2025.DFD,5,AVERAGE,31.74%,38.43%,7.84%,5.35%,0.00%,0.00%,16.39%,0.00%,TRUE
UKPARL.2025.DFR,1,YOUGOV MRPs (List),6.00%,39.00%,6.00%,5.00%,31.00%,0.00%,9.00%,4.00%,Lab
UKPARL.2025.DFR,2,IPSOS MRP (List),10.00%,46.00%,6.00%,3.00%,28.00%,NA,5.00%,1.00%,Lab
UKPARL.2025.DFR,3,Survation MRP (List),12.08%,38.87%,5.35%,3.30%,34.51%,NI,2.98%,2.90%,Lab
UKPARL.2025.DFR,4,FocalData MRP (List),9.95%,44.92%,7.08%,4.49%,24.86%,,8.04%,,Lab
UKPARL.2025.DFR,5,AVERAGE,9.51%,42.20%,6.11%,3.95%,29.59%,0.00%,6.25%,2.63%,TRUE
UKPARL.2025.DHM,1,YOUGOV MRPs (List),13.00%,53.00%,9.00%,10.00%,0.00%,0.00%,16.00%,0.00%,Lab
UKPARL.2025.DHM,2,IPSOS MRP (List),15.00%,53.00%,8.00%,6.00%,NA,NA,16.00%,1.00%,Lab
UKPARL.2025.DHM,3,Survation MRP (List),14.99%,56.85%,10.93%,3.85%,NI,NI,11.96%,1.41%,Lab
UKPARL.2025.DHM,4,FocalData MRP (List),14.12%,55.25%,8.44%,5.68%,,,15.47%,,Lab
UKPARL.2025.DHM,5,AVERAGE,14.28%,54.53%,9.09%,6.38%,0.00%,0.00%,14.86%,0.80%,TRUE
UKPARL.2025.DLB,1,YOUGOV MRPs (List),30.00%,34.00%,11.00%,6.00%,0.00%,0.00%,19.00%,0.00%,Lab
UKPARL.2025.DLB,2,IPSOS MRP (List),30.00%,37.00%,10.00%,7.00%,NA,NA,15.00%,0.00%,Lab
UKPARL.2025.DLB,3,Survation MRP (List),29.31%,39.66%,8.00%,7.93%,NI,NI,12.98%,2.12%,Lab
UKPARL.2025.DLB,4,FocalData MRP (List),32.60%,32.75%,11.14%,5.54%,,,17.72%,,Lab
UKPARL.2025.DLB,5,AVERAGE,30.48%,35.85%,10.03%,6.62%,0.00%,0.00%,16.17%,0.71%,TRUE
UKPARL.2025.DMD,1,YOUGOV MRPs (List),12.00%,15.00%,4.00%,4.00%,0.00%,47.00%,15.00%,3.00%,PC
UKPARL.2025.DMD,2,IPSOS MRP (List),12.00%,24.00%,4.00%,4.00%,NA,44.00%,9.00%,1.00%,PC
UKPARL.2025.DMD,3,Survation MRP (List),16.78%,21.18%,0.42%,3.13%,NI,52.82%,5.67%,0.01%,PC
UKPARL.2025.DMD,4,FocalData MRP (List),14.82%,22.32%,3.68%,4.00%,,40.94%,13.70%,,PC
UKPARL.2025.DMD,5,AVERAGE,13.90%,20.63%,3.03%,3.78%,0.00%,46.19%,10.84%,1.34%,TRUE
UKPARL.2025.DNC,1,YOUGOV MRPs (List),12.00%,46.00%,5.00%,6.00%,0.00%,0.00%,27.00%,3.00%,Lab
UKPARL.2025.DNC,2,IPSOS MRP (List),21.00%,49.00%,5.00%,6.00%,NA,NA,17.00%,1.00%,Lab
UKPARL.2025.DNC,3,Survation MRP (List),19.95%,46.56%,4.64%,8.36%,NI,NI,17.17%,3.33%,Lab
UKPARL.2025.DNC,4,FocalData MRP (List),18.15%,48.62%,3.56%,5.19%,,,24.17%,,Lab
UKPARL.2025.DNC,5,AVERAGE,17.77%,47.55%,4.55%,6.39%,0.00%,0.00%,21.33%,2.44%,TRUE
UKPARL.2025.DNE,1,YOUGOV MRPs (List),23.00%,42.00%,3.00%,5.00%,0.00%,0.00%,26.00%,0.00%,Lab
UKPARL.2025.DNE,2,IPSOS MRP (List),27.00%,33.00%,5.00%,5.00%,NA,NA,28.00%,0.00%,Lab
UKPARL.2025.DNE,3,Survation MRP (List),23.03%,47.26%,3.53%,5.66%,NI,NI,18.69%,1.84%,Lab
UKPARL.2025.DNE,4,FocalData MRP (List),24.73%,40.42%,4.35%,4.51%,,,24.87%,,Lab
UKPARL.2025.DNE,5,AVERAGE,24.44%,40.67%,3.97%,5.04%,0.00%,0.00%,24.39%,0.61%,TRUE
UKPARL.2025.DNN,1,YOUGOV MRPs (List),11.00%,65.00%,6.00%,5.00%,0.00%,0.00%,0.00%,13.00%,Lab
UKPARL.2025.DNN,2,IPSOS MRP (List),25.00%,62.00%,6.00%,4.00%,NA,NA,NA,1.00%,Lab
UKPARL.2025.DNN,3,Survation MRP (List),20.83%,69.30%,4.40%,0.40%,NI,NI,NI,5.07%,Lab
UKPARL.2025.DNN,4,FocalData MRP (List),20.73%,67.78%,4.39%,6.71%,,,0.00%,,Lab
UKPARL.2025.DNN,5,AVERAGE,19.39%,66.02%,5.20%,4.03%,0.00%,0.00%,0.00%,6.36%,TRUE
UKPARL.2025.DRL,1,YOUGOV MRPs (List),27.00%,49.00%,4.00%,7.00%,0.00%,0.00%,13.00%,0.00%,Lab
UKPARL.2025.DRL,2,IPSOS MRP (List),27.00%,53.00%,3.00%,4.00%,NA,NA,12.00%,NA,Lab
UKPARL.2025.DRL,3,Survation MRP (List),27.60%,40.40%,2.67%,12.24%,NI,NI,17.09%,NI,Lab
UKPARL.2025.DRL,4,FocalData MRP (List),24.65%,45.36%,4.75%,5.04%,,,20.20%,,Lab
UKPARL.2025.DRL,5,AVERAGE,26.56%,46.94%,3.61%,7.07%,0.00%,0.00%,15.57%,0.00%,TRUE
UKPARL.2025.DUD,1,YOUGOV MRPs (List),30.00%,35.00%,5.00%,6.00%,0.00%,0.00%,23.00%,1.00%,Lab
UKPARL.2025.DUD,2,IPSOS MRP (List),32.00%,48.00%,2.00%,3.00%,NA,NA,14.00%,1.00%,Lab
UKPARL.2025.DUD,3,Survation MRP (List),30.81%,44.00%,2.35%,2.62%,NI,NI,18.23%,2.00%,Lab
UKPARL.2025.DUD,4,FocalData MRP (List),31.75%,37.62%,3.97%,4.81%,,,21.57%,,Lab
UKPARL.2025.DUD,5,AVERAGE,31.14%,41.15%,3.33%,4.11%,0.00%,0.00%,19.20%,1.33%,TRUE
UKPARL.2025.DUN,1,YOUGOV MRPs (List),6.00%,36.00%,5.00%,0.00%,40.00%,0.00%,7.00%,7.00%,SNP
UKPARL.2025.DUN,2,IPSOS MRP (List),5.00%,38.00%,3.00%,NA,42.00%,NA,8.00%,2.00%,SNP
UKPARL.2025.DUN,3,Survation MRP (List),6.82%,32.20%,5.12%,NI,48.80%,NI,3.62%,3.45%,SNP
UKPARL.2025.DUN,4,FocalData MRP (List),4.45%,44.59%,6.63%,0.00%,34.03%,,9.56%,,Lab
UKPARL.2025.DUN,5,AVERAGE,5.57%,37.70%,4.94%,0.00%,41.21%,0.00%,7.04%,4.15%,FALSE
UKPARL.2025.DWN,1,YOUGOV MRPs (List),6.00%,62.00%,3.00%,23.00%,0.00%,0.00%,4.00%,1.00%,Lab
UKPARL.2025.DWN,2,IPSOS MRP (List),7.00%,63.00%,4.00%,18.00%,NA,NA,5.00%,2.00%,Lab
UKPARL.2025.DWN,3,Survation MRP (List),14.65%,55.81%,1.79%,15.57%,NI,NI,8.93%,3.25%,Lab
UKPARL.2025.DWN,4,FocalData MRP (List),8.53%,66.81%,4.19%,14.24%,,,5.52%,,Lab
UKPARL.2025.DWN,5,AVERAGE,9.04%,61.91%,3.25%,17.70%,0.00%,0.00%,5.86%,2.08%,TRUE
UKPARL.2025.EAC,1,YOUGOV MRPs (List),23.00%,47.00%,5.00%,9.00%,0.00%,0.00%,15.00%,1.00%,Lab
UKPARL.2025.EAC,2,IPSOS MRP (List),26.00%,50.00%,4.00%,5.00%,NA,NA,13.00%,1.00%,Lab
UKPARL.2025.EAC,3,Survation MRP (List),23.28%,47.42%,5.29%,10.97%,NI,NI,10.20%,2.83%,Lab
UKPARL.2025.EAC,4,FocalData MRP (List),26.01%,46.62%,6.19%,6.26%,,,14.49%,,Lab
UKPARL.2025.EAC,5,AVERAGE,24.57%,47.76%,5.12%,7.81%,0.00%,0.00%,13.17%,1.61%,TRUE
UKPARL.2025.EAE,1,YOUGOV MRPs (List),35.00%,20.00%,26.00%,5.00%,0.00%,0.00%,15.00%,0.00%,LD
UKPARL.2025.EAE,2,IPSOS MRP (List),30.00%,23.00%,35.00%,4.00%,NA,NA,7.00%,1.00%,LD
UKPARL.2025.EAE,3,Survation MRP (List),29.68%,33.33%,22.97%,3.95%,NI,NI,8.74%,1.33%,Lab
UKPARL.2025.EAE,4,FocalData MRP (List),32.78%,20.81%,27.04%,4.63%,,,14.46%,,LD
UKPARL.2025.EAE,5,AVERAGE,31.87%,24.29%,27.75%,4.40%,0.00%,0.00%,11.30%,0.78%,FALSE
UKPARL.2025.EAR,1,YOUGOV MRPs (List),34.00%,43.00%,16.00%,7.00%,0.00%,0.00%,0.00%,0.00%,Lab
UKPARL.2025.EAR,2,IPSOS MRP (List),37.00%,42.00%,12.00%,6.00%,NA,NA,NA,1.00%,Lab
UKPARL.2025.EAR,3,Survation MRP (List),35.93%,40.77%,14.11%,7.04%,NI,NI,NI,2.15%,Lab
UKPARL.2025.EAR,4,FocalData MRP (List),31.53%,43.31%,18.80%,5.97%,,,0.00%,,Lab
UKPARL.2025.EAR,5,AVERAGE,34.62%,42.27%,15.23%,6.50%,0.00%,0.00%,0.00%,1.05%,TRUE
UKPARL.2025.EAS,1,YOUGOV MRPs (List),6.00%,55.00%,5.00%,7.00%,0.00%,0.00%,24.00%,3.00%,Lab
UKPARL.2025.EAS,2,IPSOS MRP (List),13.00%,57.00%,5.00%,4.00%,NA,NA,20.00%,0.00%,Lab
UKPARL.2025.EAS,3,Survation MRP (List),10.78%,49.84%,7.61%,1.97%,NI,NI,27.15%,2.66%,Lab
UKPARL.2025.EAS,4,FocalData MRP (List),10.17%,52.92%,3.78%,4.51%,,,28.19%,,Lab
UKPARL.2025.EAS,5,AVERAGE,9.99%,53.69%,5.35%,4.37%,0.00%,0.00%,24.83%,1.89%,TRUE
UKPARL.2025.EAT,1,YOUGOV MRPs (List),9.00%,61.00%,6.00%,8.00%,0.00%,0.00%,14.00%,1.00%,Lab
UKPARL.2025.EAT,2,IPSOS MRP (List),16.00%,60.00%,4.00%,8.00%,NA,NA,9.00%,3.00%,Lab
UKPARL.2025.EAT,3,Survation MRP (List),22.56%,43.39%,11.49%,6.86%,NI,NI,8.91%,6.79%,Lab
UKPARL.2025.EAT,4,FocalData MRP (List),13.00%,64.05%,6.21%,5.33%,,,10.53%,,Lab
UKPARL.2025.EAT,5,AVERAGE,15.14%,57.11%,6.92%,7.05%,0.00%,0.00%,10.61%,3.60%,TRUE
UKPARL.2025.EAW,1,YOUGOV MRPs (List),23.00%,6.00%,59.00%,2.00%,0.00%,0.00%,10.00%,0.00%,LD
UKPARL.2025.EAW,2,IPSOS MRP (List),28.00%,11.00%,49.00%,3.00%,NA,NA,8.00%,1.00%,LD
UKPARL.2025.EAW,3,Survation MRP (List),26.16%,10.05%,50.32%,1.69%,NI,NI,10.37%,1.40%,LD
UKPARL.2025.EAW,4,FocalData MRP (List),29.57%,8.75%,45.51%,3.30%,,,12.64%,,LD
UKPARL.2025.EAW,5,AVERAGE,26.68%,8.95%,50.96%,2.50%,0.00%,0.00%,10.25%,0.80%,TRUE
UKPARL.2025.EBN,1,YOUGOV MRPs (List),18.00%,7.00%,54.00%,3.00%,0.00%,0.00%,17.00%,2.00%,LD
UKPARL.2025.EBN,2,IPSOS MRP (List),29.00%,23.00%,33.00%,3.00%,NA,NA,11.00%,0.00%,LD
UKPARL.2025.EBN,3,Survation MRP (List),19.82%,10.83%,52.84%,2.52%,NI,NI,12.87%,1.13%,LD
UKPARL.2025.EBN,4,FocalData MRP (List),23.46%,6.45%,45.18%,3.08%,,,21.63%,,LD
UKPARL.2025.EBN,5,AVERAGE,22.57%,11.82%,46.26%,2.90%,0.00%,0.00%,15.62%,1.04%,TRUE
UKPARL.2025.ECA,1,YOUGOV MRPs (List),11.00%,57.00%,15.00%,10.00%,0.00%,0.00%,8.00%,0.00%,Lab
UKPARL.2025.ECA,2,IPSOS MRP (List),13.00%,59.00%,8.00%,10.00%,NA,NA,7.00%,2.00%,Lab
UKPARL.2025.ECA,3,Survation MRP (List),19.44%,52.51%,10.71%,7.41%,NI,NI,6.47%,3.45%,Lab
UKPARL.2025.ECA,4,FocalData MRP (List),13.97%,59.59%,11.59%,7.12%,,,7.25%,,Lab
UKPARL.2025.ECA,5,AVERAGE,14.35%,57.03%,11.33%,8.63%,0.00%,0.00%,7.18%,1.82%,TRUE
UKPARL.2025.EEC,1,YOUGOV MRPs (List),30.00%,18.00%,31.00%,3.00%,0.00%,0.00%,17.00%,1.00%,LD
UKPARL.2025.EEC,2,IPSOS MRP (List),34.00%,28.00%,19.00%,5.00%,NA,NA,12.00%,0.00%,Lab
UKPARL.2025.EEC,3,Survation MRP (List),25.89%,26.70%,28.21%,4.06%,NI,NI,13.90%,1.25%,LD
UKPARL.2025.EEC,4,FocalData MRP (List),30.89%,25.15%,20.67%,3.91%,,,18.47%,,Lab
UKPARL.2025.EEC,5,AVERAGE,30.19%,24.46%,24.72%,3.99%,0.00%,0.00%,15.34%,0.75%,FALSE
UKPARL.2025.EEM,1,YOUGOV MRPs (List),5.00%,33.00%,5.00%,8.00%,37.00%,0.00%,6.00%,6.00%,SNP
UKPARL.2025.EEM,2,IPSOS MRP (List),6.00%,40.00%,3.00%,8.00%,36.00%,NA,3.00%,2.00%,Lab
UKPARL.2025.EEM,3,Survation MRP (List),9.18%,30.15%,5.65%,5.81%,42.90%,NI,2.60%,3.72%,SNP
UKPARL.2025.EEM,4,FocalData MRP (List),5.27%,38.51%,6.57%,5.20%,36.96%,,7.00%,,Lab
UKPARL.2025.EEM,5,AVERAGE,6.36%,35.42%,5.05%,6.75%,38.22%,0.00%,4.65%,3.91%,FALSE
UKPARL.2025.EGU,1,YOUGOV MRPs (List),34.00%,20.00%,29.00%,7.00%,0.00%,0.00%,0.00%,11.00%,LD
UKPARL.2025.EGU,2,IPSOS MRP (List),45.00%,30.00%,15.00%,9.00%,NA,NA,NA,0.00%,Lab
UKPARL.2025.EGU,3,Survation MRP (List),38.70%,33.00%,20.31%,6.95%,NI,NI,NI,1.04%,Lab
UKPARL.2025.EGU,4,FocalData MRP (List),37.12%,30.85%,26.26%,5.56%,,,0.00%,,Lab
UKPARL.2025.EGU,5,AVERAGE,38.70%,28.46%,22.64%,7.13%,0.00%,0.00%,0.00%,4.01%,FALSE
UKPARL.2025.EHA,1,YOUGOV MRPs (List),32.00%,11.00%,32.00%,5.00%,0.00%,0.00%,19.00%,0.00%,LD
UKPARL.2025.EHA,2,IPSOS MRP (List),35.00%,23.00%,20.00%,8.00%,NA,NA,13.00%,0.00%,Lab
UKPARL.2025.EHA,3,Survation MRP (List),31.92%,22.19%,22.42%,5.23%,NI,NI,17.46%,0.78%,LD
UKPARL.2025.EHA,4,FocalData MRP (List),32.11%,24.54%,21.37%,6.01%,,,15.70%,,Lab
UKPARL.2025.EHA,5,AVERAGE,32.76%,20.18%,23.95%,6.06%,0.00%,0.00%,16.29%,0.26%,FALSE
UKPARL.2025.EHM,1,YOUGOV MRPs (List),9.00%,61.00%,4.00%,11.00%,0.00%,0.00%,9.00%,7.00%,Lab
UKPARL.2025.EHM,2,IPSOS MRP (List),10.00%,72.00%,3.00%,7.00%,NA,NA,4.00%,3.00%,Lab
UKPARL.2025.EHM,3,Survation MRP (List),10.63%,64.96%,2.39%,7.93%,NI,NI,6.86%,7.24%,Lab
UKPARL.2025.EHM,4,FocalData MRP (List),7.75%,71.17%,5.97%,6.55%,,,6.79%,,Lab
UKPARL.2025.EHM,5,AVERAGE,9.35%,67.28%,3.84%,8.12%,0.00%,0.00%,6.66%,5.75%,TRUE
UKPARL.2025.EKS,1,YOUGOV MRPs (List),9.00%,42.00%,4.00%,2.00%,34.00%,0.00%,9.00%,0.00%,Lab
UKPARL.2025.EKS,2,IPSOS MRP (List),11.00%,45.00%,3.00%,4.00%,31.00%,NA,4.00%,1.00%,Lab
UKPARL.2025.EKS,3,Survation MRP (List),10.37%,49.58%,2.97%,2.73%,28.78%,NI,3.80%,1.76%,Lab
UKPARL.2025.EKS,4,FocalData MRP (List),9.55%,38.39%,5.48%,4.75%,30.86%,,10.11%,,Lab
UKPARL.2025.EKS,5,AVERAGE,9.98%,43.74%,3.86%,3.37%,31.16%,0.00%,6.73%,0.92%,TRUE
UKPARL.2025.ELN,1,YOUGOV MRPs (List),14.00%,54.00%,7.00%,12.00%,0.00%,0.00%,12.00%,1.00%,Lab
UKPARL.2025.ELN,2,IPSOS MRP (List),19.00%,60.00%,5.00%,6.00%,NA,NA,6.00%,2.00%,Lab
UKPARL.2025.ELN,3,Survation MRP (List),19.66%,49.62%,6.89%,13.64%,NI,NI,5.45%,4.74%,Lab
UKPARL.2025.ELN,4,FocalData MRP (List),17.38%,62.95%,5.77%,5.00%,,,8.46%,,Lab
